央视,#genre#
CCTV-1综合,http://39.134.176.253/PLTV/88888888/224/3221226527/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226154/index.m3u8#http://117.169.120.140:8080/live/cctv-1/.m3u8
CCTV-2财经,http://39.134.176.253/PLTV/88888888/224/3221226468/index.m3u8#http://117.169.120.140:8080/live/cctv-2/.m3u8
CCTV-3综艺,http://39.134.176.253/PLTV/88888888/224/3221226431/index.m3u8#http://117.169.120.140:8080/live/cctv-3/.m3u8#http://39.135.32.29:6610/000000001000/1000000001000011218/index.m3u8?i
CCTV-4中文国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-4/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-4/index.m3u8?IAS$8M四川#http://117.169.120.140:8080/live/cctv-4/.m3u8
CCTV-5体育,http://39.134.176.253/PLTV/88888888/224/3221226400/index.m3u8#http://39.134.39.37/PLTV/88888888/224/3221226151/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226400/index.m3u8
CCTV-5+体育赛事,http://39.134.176.253/PLTV/88888888/224/3221226166/index.m3u8#http://39.134.39.37/PLTV/88888888/224/3221226253/index.m3u8#http://121.31.30.91:8081/ysten-business/live/hdcctv05plus/1.m3u8
CCTV-6电影,http://39.134.176.253/PLTV/88888888/224/3221226487/index.m3u8#http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8#http://112.17.40.48:80/PLTV/88888888/224/3221226433/1.m3u8#http://117.169.120.140:8080/live/cctv-6/.m3u8#http://39.135.32.27:6610/000000001000/1000000001000001737/index.m3u8?i
CCTV-7国防军事,http://39.134.176.253/PLTV/88888888/224/3221226122/index.m3u8#http://117.169.120.140:8080/live/cctv-7/.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226122/index.m3u8
CCTV-8电视剧,http://39.134.176.253/PLTV/88888888/224/3221226330/index.m3u8#http://223.110.243.171/PLTV/3/224/3221227204/index.m3u8#http://117.169.120.140:8080/live/cctv-8/.m3u8#http://39.135.32.29:6610/000000001000/1000000001000003736/index.m3u8?i
CCTV-9纪录,http://39.134.176.253/PLTV/88888888/224/3221226561/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226156/index.m3u8#http://112.17.40.8:80/PLTV/88888888/224/3221226156/index.m3u8
CCTV-10科教,http://39.134.176.253/PLTV/88888888/224/3221226199/index.m3u8#http://39.135.32.24:6610/000000001000/1000000001000023734/index.m3u8?i
CCTV-11戏曲,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-11/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-11/index.m3u8?IAS$8M四川#http://117.169.120.140:8080/live/cctv-11/.m3u8
CCTV-12社会与法,http://39.134.176.253/PLTV/88888888/224/3221226167/index.m3u8#http://117.169.120.140:8080/live/cctv-12/.m3u8#http://112.17.40.8:80/PLTV/88888888/224/3221226167/index.m3u8
CCTV-13新闻,http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-13/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-13/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8#http://117.169.120.140:8080/live/cctv-13/.m3u8
CCTV-14少儿,http://39.134.176.253/PLTV/88888888/224/3221226126/index.m3u8#http://117.169.120.140:8080/live/cctv-14/.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226126/index.m3u8
CCTV-15音乐,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-15/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-15/index.m3u8?IAS$8M四川#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225818/1.m3u8#http://app.xhzb.tw:5444/proxy/mg.m3u8?id=608807408#http://117.169.120.140:8080/live/cctv-15/.m3u8
CCTV-16奥运,http://ott-live.olympicchannel.com/out/u/OC1_1.m3u8
CCTV-17农业农村,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-17/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-17/index.m3u8?IAS$8M四川#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
